date,kol_sna,kolichestvo_sna_0,nalichee_zarydki,zavrrak_koloriy,obed_koloriy,chteniy,sostavlenye_rasporydka,ocenka_dny
2025-08-17,4.0,1,1,0,1,1,1,7
2025-08-17,10.0,3,1,1,1,1,1,7
